ch1     0.0     1.0     2.0     1.0
ch1     1.0     1.0     2.0     1.0
ch1     1.0     1.0     3.0     1.0
ch1     1.0     2.0     3.0     1.0
ch1     1.0     2.0     4.0     1.0
ch1     2.0     2.0     4.0     1.0
ch1     2.0     1.0     4.0     1.0
ch1     2.0     1.0     3.0     1.0

ch2     3.0     2.0     1.0     1.0
ch2     3.0     3.0     1.0     1.0
ch2     2.0     3.0     1.0     1.0
ch2     2.0     3.0     2.0     1.0
ch2     2.0     4.0     2.0     1.0
ch2     2.0     4.0     1.0     1.0
ch2     3.0     4.0     1.0     1.0

ball    0.0     1.0     0.0
ball    1.0     0.0     1.0
ball    2.0     2.0     0.0
